Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
M;92707.18;Department of Police;MSB Information Management and Technology DivisioinCrime Analysis Section;Fulltime-Regular;Program Manager I;1982
F;102664;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Communications Manager;1988
M;89620;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2000
M;103708.64;Correction and Rehabilitation;DS MCDC Intake/Release Operations;Fulltime-Regular;Correctional Shift Commander (Lieutenant);1994
M;96763.35;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;1994
F;94105.52;Department of General Services;Facilities;Fulltime-Regular;Property Manager II;2014
M;29779.06;Department of Liquor Control;Westwood;Parttime-Regular;Liquor Store Clerk I;2012
M;92756.7;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;1994
M;18723.15;Department of Public Libraries;Davis Library;Parttime-Regular;Library Assistant I;2013
M;56947.99;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer I;2002
M;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
M;72902;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2006
M;77231;Fire and Rescue Services;Station 4;Fulltime-Regular;Master Firefighter/Rescuer;2008
M;70301;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);1997
M;141539.36;Department of Police;MSB Policy and Planning Division;Fulltime-Regular;Police Captain;1988
M;85854;Fire and Rescue Services;Station 24;Fulltime-Regular;Master Firefighter/Rescuer;2002
M;91532;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Supervisor (Sergeant);1997
M;53505.68;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer I;2004
M;63493;Fire and Rescue Services;Station 19;Fulltime-Regular;Firefighter/Rescuer III;2008
M;78096;Department of Police;FSB Traffic Division Alcohol Initiatives Section;Fulltime-Regular;Police Officer III;2004
F;87005.41;Correction and Rehabilitation;DS Health Services;Fulltime-Regular;Correctional Health Nurse II;2006
F;100849.36;Department of Health and Human Services;Victim Assistance and Sexual Assault Program;Fulltime-Regular;Therapist II;1987
F;66065.23;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1994
F;97392.47;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Master Police Officer;1994
M;50910;Fire and Rescue Services;Station 26;Fulltime-Regular;Firefighter/Rescuer III;2014
M;50910;Fire and Rescue Services;Station 33;Fulltime-Regular;Firefighter/Rescuer III;2014
M;163657.22;Office of Procurement;Office of Procurement;Fulltime-Regular;Manager I;1972
M;46626.87;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2007
M;58455;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2013
F;26208.35;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;1987
M;89620;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;1997
F;58448;Office of Agriculture;Soil Conservation;Fulltime-Regular;Principal Administrative Aide;2002
F;100427.43;Department of Police;FSB Animal Services Division;Fulltime-Regular;Manager III;2013
M;55122.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2004
F;64141;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1999
M;68054;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2008
M;100849.36;Department of Health and Human Services;Environmental Health and Regulatory Services;Fulltime-Regular;Environmental Health Specialist III;1985
M;51289.57;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Safety and Training Instructor;2008
M;56554.77;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;2000
M;64141;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1997
F;64141;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1999
M;53788;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2014
M;58455;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2013
F;83214;Department of Health and Human Services;African American Health Program;Fulltime-Regular;Program Manager II;2015
M;55328;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2013
M;80145;Fire and Rescue Services;Station 8;Fulltime-Regular;Master Firefighter/Rescuer;2004
M;88859;Fire and Rescue Services;Station 8;Fulltime-Regular;Master Firefighter/Rescuer;1998
M;85208.58;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2002
F;57660.28;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative II;2010
F;40631.32;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2015
F;88834.2;Department of Housing and Community Affairs;Asset Management;Fulltime-Regular;Program Manager I;2003
M;40631.32;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Public Safety Communications Specialist III;2015
M;75277.02;Department of Transportation;Transit Central Communication;Fulltime-Regular;Transit Communications Supervisor;1985
M;79763;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2003
M;60501;Department of Police;PSB 6th District Community Action Team;Fulltime-Regular;Police Officer III;2012
M;54071.01;Department of Recreation;Ross Boddy Neighborhood Recreation Center;Fulltime-Regular;Recreation Specialist;2015
M;66065.23;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;1979
F;85855.58;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;2010
F;61316.1;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2007
F;63175.5;Department of Recreation;Countywide Programs Sports;Fulltime-Regular;Recreation Specialist;2000
F;65679.8;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2005
M;65752;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2009
F;73697.09;Department of Police;MSB Personnel Division;Fulltime-Regular;Program Manager I;2002
M;65382;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2012
M;84825;Fire and Rescue Services;Field Operations Administration;Fulltime-Regular;Master Firefighter/Rescuer;2005
M;61494.32;Department of Public Libraries;Technology Management;Fulltime-Regular;Information Technology Technician III;2014
F;47878.29;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Public Safety Communications Specialist III;2013
M;107657;Department of Health and Human Services;Information Systems and Technology;Fulltime-Regular;Information Technology Specialist III;2004
F;129509.88;Department of Environmental Protection;Management Services;Fulltime-Regular;Manager III;2006
F;91805;Department of Health and Human Services;Adult Protective Services - Nurse Assessment;Fulltime-Regular;Community Health Nurse II;2009
M;77343;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Information Technology Technician III;2001
F;22879.67;Department of Public Libraries;Davis Library;Parttime-Regular;Library Desk Assistant;1997
M;85940.4;Department of Health and Human Services;Behavioral Health Planning and Management;Fulltime-Regular;Accountant/Auditor III;2009
F;64025.72;Department of Health and Human Services;Income Supports;Fulltime-Regular;Fiscal Assistant;2000
F;52409.96;Department of Police;PSB 4th District Station;Fulltime-Regular;Office Services Coordinator;2003
F;36391.31;Department of Health and Human Services;Child Welfare Services;Parttime-Regular;Social Worker III;2007
M;97560;Fire and Rescue Services;Station 31;Fulltime-Regular;Master Firefighter/Rescuer;1998
M;49831;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2014
M;76791.75;Department of Liquor Control;Montrose;Fulltime-Regular;Liquor Store Manager;1999
F;55952.3;Department of Police;MSB Information Management and Technology Division Data Systems Section;Fulltime-Regular;Office Services Coordinator;2000
F;53496.67;Department of Liquor Control;Kensington;Fulltime-Regular;Liquor Store Assistant Manager;2005
M;62835.65;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2000
M;68543;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Firefighter/Rescuer III;2008
M;123902.96;Department of Police;Patrol Services Bureau;Fulltime-Regular;Police Lieutenant;1994
F;67430.8;Department of Health and Human Services;Medication Assisted Treatment - Clinical and Vocational Services;Fulltime-Regular;Community Services Aide III;2003
M;94449;Fire and Rescue Services;Station 3;Fulltime-Regular;Fire/Rescue Lieutenant;2002
M;70052;Fire and Rescue Services;Station 31;Fulltime-Regular;Firefighter/Rescuer III;2006
M;48054.18;Department of Police;MSB Management and Budget Division Abandoned Vehicle Section;Fulltime-Regular;Abandoned Vehicle Code Enforcement Specialist;2001
F;68274.95;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2007
M;50065.12;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Warehouse Equipment Operator;2002
F;47301.58;Department of Transportation;Transit Operations and Planning;Fulltime-Regular;Transit Analyst;2011
F;135384.59;Department of Public Libraries;Chevy Chase Library;Fulltime-Regular;Manager III;2001
M;29779.06;Department of Liquor Control;Clarksburg Village;Parttime-Regular;Liquor Store Clerk I;2012
F;62776.59;Department of General Services;Fleet Operational Support;Fulltime-Regular;Program Specialist II;2001
F;68338.75;Board of Elections;Polling Place Management;Fulltime-Regular;Program Specialist II;2013
F;130052.59;Department of General Services;Planning and Development;Fulltime-Regular;Manager II;2010
F;106279.74;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Senior Permitting Services Specialist;2007
M;47189.32;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
F;91751.37;Correction and Rehabilitation;DS Intake Classification and Re-Entry Services;Fulltime-Regular;Correctional Specialist II;1983
F;26208.35;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;1989
M;45049.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
F;69222.18;Department of Public Libraries;Business Office;Fulltime-Regular;Office Services Coordinator;1989
F;45049.12;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2012
M;68614.81;Department of Public Libraries;Poolesville Library;Fulltime-Regular;Senior Librarian;2013
M;45406.15;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2010
F;60201.44;Correction and Rehabilitation;PTS Alternative Community Services;Fulltime-Regular;Principal Administrative Aide;1992
F;155343.73;Office of Human Resources;EEO Compliance and Diversity Management Division;Fulltime-Regular;Manager II;2003
M;60190.02;Fire and Rescue Services;Fleet Operations;Fulltime-Regular;Emergency Vehicle Mechanic Technician II;2013
F;61231;Department of Health and Human Services;Maternity Dental;Fulltime-Regular;Dental Assistant;2001
F;77343;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Safety and Training Instructor;1984
M;46325.1;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2007
M;97392.47;Department of Police;Field Services Bureau;Fulltime-Regular;Master Police Officer;1994
F;16049;Department of Police;MSB Personnel Division;Parttime-Regular;Police Cadet;2016
F;92756.7;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;1993
M;76015.03;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;1996
M;50910;Fire and Rescue Services;Station 10;Fulltime-Regular;Firefighter/Rescuer III;2014
M;28772.07;Department of Liquor Control;Fallsgrove;Parttime-Regular;Liquor Store Clerk I;2015
M;100849.36;Department of Permitting Services;Zoning;Fulltime-Regular;Senior Permitting Services Specialist;1984
M;52416.7;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;1992
M;45049.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2011
M;94277.96;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);1995
