id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
7077,M,102659.52,Correction and Rehabilitation,PTS Diversion Services,Fulltime-Regular,Manager III,1997
7078,F,41500,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Office Services Coordinator,2016
7079,M,92756.7,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1994
7080,F,48572.17,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2014
7081,F,25445,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,1997
7082,F,51684.82,Department of Liquor Control,Leisure World,Fulltime-Regular,Liquor Store Assistant Manager,2007
7083,M,29779.07,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,2009
7084,F,93396,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Accountant/Auditor III,2001
7085,M,63445,Fire and Rescue Services,Station 7,Fulltime-Regular,Firefighter/Rescuer III,2013
7086,M,95187.98,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,1979
7087,F,107657,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Retirement Analyst,2001
7088,M,64564,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,2009
7089,F,24534,Department of Health and Human Services,Abused Persons Program,Parttime-Regular,Client Assistance Specialist,2010
7090,F,72195.63,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2000
7091,M,68015,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,2007
7092,F,69222.18,Fire and Rescue Services,Procurement,Fulltime-Regular,Office Services Coordinator,1992
7093,M,46068.91,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2001
7094,F,35552.78,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2013
7095,F,83066.61,Department of Transportation,Transit Operations and Planning,Fulltime-Regular,Program Specialist II,1979
7096,M,70396,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,2005
7097,F,44753,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,2015
7098,F,65591.78,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Office Services Coordinator,2002
7099,M,54944.04,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,2006
7100,M,50211,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016
7101,F,41688,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Community Services Aide III,2006
7102,M,85405,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,2002
7103,M,67235.97,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2008
7104,F,93396,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,2013
7105,M,56688.39,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003
7106,M,48500,Department of Recreation,Department of Recreation,Fulltime-Regular,Building Services Worker II,2001
7107,F,20419.48,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2005
7108,M,80829,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,1997
7109,M,80829,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2003
7110,M,118930,Fire and Rescue Services,Station 33,Fulltime-Regular,Fire/Rescue Captain,1998
7111,M,50890,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,1996
7112,F,59072,Correction and Rehabilitation,PRRS Reentry Services and Programs,Fulltime-Regular,Correctional Specialist III,2016
7113,F,50951.05,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2013
7114,M,90854.45,Office of Public Information,MC311,Fulltime-Regular,Program Manager II,2009
7115,M,53163.59,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2003
7116,F,64541.65,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician III,2013
7117,M,133720.77,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager III,2004
7118,F,96359.63,County Attorney\'s Office,Human Resources and Appeals,Fulltime-Regular,Assistant County Attorney III,2010
7119,F,100047.95,Department of Recreation,Office of the Director,Fulltime-Regular,Program Manager II,2001
7120,M,53788,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2014
7121,M,15834.05,Department of Public Libraries,Kensington Park Library,Parttime-Regular,Library Aide,2002
7122,F,104717.28,Office of Public Information,MC311,Fulltime-Regular,Program Manager II,1978
7123,F,87843.5,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2007
7124,M,100688,Correction and Rehabilitation,DS MCCF Custody and Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),1997
7125,F,69300.19,Department of Permitting Services,Zoning and Site Plan Enforcement,Fulltime-Regular,Permit Technician III,2005
7126,M,66065.23,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1992
7127,F,105743.92,Department of Health and Human Services,Health Care and Group Facilities,Fulltime-Regular,Program Manager II,1986
7128,F,53380.28,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1998
7129,M,87523.22,Department of Technology Services,EASD - DCM Services,Fulltime-Regular,Program Specialist II,1994
7130,M,104042.63,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Manager III,2015
7131,F,107183,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2000
7132,M,92756.7,Department of Police,FSB Traffic Division Collision Reconstruction,Fulltime-Regular,Police Officer III,1992
7133,F,104717.28,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,1990
7134,M,39003.45,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2015
7135,F,60526.62,Department of Permitting Services,Building Construction Permit Processing,Fulltime-Regular,Permit Technician III,2006
7136,M,65578.23,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service and Maintenance Team Supv,1996
7137,F,82183.65,Correction and Rehabilitation,DS MCCF Case Managers Unit 3,Fulltime-Regular,Correctional Specialist II,2002
7138,M,79815.21,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Public Health Advisor,1994
7139,M,39093.37,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Motor Pool Attendant,2006
7140,F,41220.18,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2016
7141,M,55976.96,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2013
7142,F,73801,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Administrative Specialist I,2007
7143,F,48280.75,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,2008
7144,M,88859,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,2001
7145,M,88008.35,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),1995
7146,M,68054,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2008
7147,M,97392.47,Department of Police,PSB 2nd District Traffic Squad,Fulltime-Regular,Master Police Officer,1992
7148,M,58773,Fire and Rescue Services,Station 26,Fulltime-Regular,Firefighter/Rescuer III,2013
7149,M,103708.64,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),1988
7150,M,64102.22,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,2006
7151,M,52693,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,2013
7152,M,84974,Department of Recreation,Youth Development Youth Services,Fulltime-Regular,Recreation Specialist,1998
7153,F,60201.44,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,1993
7154,F,72650.79,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Code Enforcement Inspector III,2007
7155,M,39257.31,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016
7156,F,86673.48,Department of Finance,Tax Operations,Fulltime-Regular,Program Specialist II,1979
7157,F,99870.24,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,1994
7158,F,118400,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Senior Information Technology Specialist,2000
7159,F,47446.21,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2003
7160,F,81066,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,1996
7161,F,60201.44,Department of Police,FSB Traffic Division School Safety Section,Fulltime-Regular,Principal Administrative Aide,1995
7162,M,25967,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Librarian I,2016
7163,F,43425.63,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2004
7164,M,77343,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Water Quality Specialist II,1998
7165,M,62435.61,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,1997
7166,F,97232.69,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,1999
7167,F,82537.73,Department of Recreation,Countywide Programs Trips and Tours,Fulltime-Regular,Recreation Specialist,2002
7168,F,81824.51,Community Engagement Cluster,Business Management,Fulltime-Regular,Administrative Specialist II,1998
7169,M,89416.14,Fire and Rescue Services,Self Contained Breathing Apparatus (SCBA) Shop,Fulltime-Regular,Program Manager II,2015
7170,F,35552.39,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015
7171,M,56478,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2014
7172,M,36363.34,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2013
7173,M,46504.21,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2015
7174,F,51574.16,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1995
7175,F,48571.6,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2014
7176,M,84871,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Master Police Officer,2003
7177,M,43525.71,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2013
7178,M,73547.33,Department of Liquor Control,Kensington,Fulltime-Regular,Liquor Store Manager,2000
7179,M,71908,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,2004
7180,M,65716,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2007
7181,M,50183,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2008
7182,F,97020.69,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Senior Financial Specialist,1999
7183,F,83497.98,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,1994
7184,M,73819.32,Department of Liquor Control,IT Administration,Fulltime-Regular,Information Technology Technician III,1999
7185,M,36651.52,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,2008
7186,M,161810,Community Engagement Cluster,Regional Services Centers,Fulltime-Regular,Director Regional Services Center,2009
7187,F,54759.28,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2000
7188,M,55328,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,2013
7189,M,65439.92,Department of Liquor Control,Montrose,Fulltime-Regular,Liquor Store Clerk II,1997
7190,M,67902.62,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Engineer I,2015
7191,M,36363.34,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2013
7192,M,63493,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2008
7193,F,104717.28,Board of Elections,Director\'s Office,Fulltime-Regular,Management and Budget Specialist III,1984
7194,F,48956,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,2004
7195,M,52060.76,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2015
7196,F,53788,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014
7197,F,72000,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Administrative Specialist III,2016
